location,Popayán,Popayán,Popayán,Popayán
lat,2.46456,2.46456,2.46456,2.46456
lon,-76.63351,-76.63351,-76.63351,-76.63351
asl,1727.320,1727.320,1727.320,1727.320
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Popayán Temperature [2 m elevation corrected],Popayán Relative Humidity [2 m],Popayán Wind Speed [10 m],Popayán Wind Direction [10 m]
20210105T0000,14.227578,97.0,0.71999997,180.0
20210105T0100,13.877579,97.0,0.5091169,135.0
20210105T0200,13.737578,96.0,1.4399999,89.99999
20210105T0300,13.8675785,93.0,1.08,89.99999
20210105T0400,13.757579,93.0,1.08,89.99999
20210105T0500,13.3675785,96.0,0.71999997,89.99999
20210105T0600,13.507579,96.0,2.1897945,99.46232
20210105T0700,15.017578,94.0,2.9024127,82.874985
20210105T0800,14.857578,96.0,5.154415,65.224846
20210105T0900,14.707579,97.0,4.379589,80.537674
20210105T1000,14.817578,97.0,1.8,53.130096
20210105T1100,15.097579,95.0,3.6,36.86989
20210105T1200,15.807579,94.0,4.072935,44.999985
20210105T1300,16.337578,93.0,3.7585104,16.69925
20210105T1400,16.997578,92.0,4.802999,347.00537
20210105T1500,17.127579,93.0,5.4833565,336.8014
20210105T1600,16.877579,94.0,5.6233797,320.19443
20210105T1700,16.47758,96.0,5.495161,301.6075
20210105T1800,16.047579,98.0,5.4833565,293.1986
20210105T1900,15.767578,98.0,5.4833565,293.1986
20210105T2000,15.587579,98.0,4.198285,300.96378
20210105T2100,15.387579,98.0,2.3051248,321.3402
20210105T2200,15.167579,98.0,2.0364676,315.0
20210105T2300,14.837579,98.0,2.0991426,300.96378
20210106T0000,14.407578,98.0,1.9386592,291.8014
20210106T0100,14.047579,98.0,1.4399999,270.0
20210106T0200,13.837579,97.0,0.5091169,315.0
20210106T0300,13.707579,97.0,0.8049845,63.43495
20210106T0400,13.637579,97.0,1.9386592,68.19859
20210106T0500,13.477578,97.0,2.4149535,63.43495
20210106T0600,13.247579,97.0,2.968636,75.96376
20210106T0700,15.097579,88.0,3.7585104,73.30075
20210106T0800,15.737578,91.0,4.0249224,280.30487
20210106T0900,16.607578,89.0,9.0,286.2602
20210106T1000,16.797579,92.0,7.9526596,275.19443
20210106T1100,16.947578,94.0,7.928178,272.60257
20210106T1200,16.997578,94.0,8.287822,272.48956
20210106T1300,17.137579,92.0,6.87779,276.009
20210106T1400,17.347578,92.0,5.8603754,280.61966
20210106T1500,17.357578,89.0,5.0142193,291.0375
20210106T1600,17.107578,90.0,4.829907,296.56506
20210106T1700,16.72758,91.0,6.2145634,280.008
20210106T1800,16.017578,95.0,6.87779,276.009
20210106T1900,15.487578,98.0,5.8048253,277.125
20210106T2000,15.267578,96.0,3.8939953,146.30994
20210106T2100,14.967579,96.0,0.71999997,360.0
20210106T2200,14.677579,97.0,3.563818,135.0
20210106T2300,14.737578,93.0,4.198285,120.96376
20210107T0000,14.477578,92.0,3.319036,130.60129
20210107T0100,14.177579,93.0,4.39436,124.99202
20210107T0200,13.977578,92.0,3.6,126.869896
20210107T0300,13.937578,92.0,2.5959969,146.30994
20210107T0400,14.287579,88.0,1.8,143.1301
20210107T0500,14.587579,84.0,1.0182338,135.0
20210107T0600,14.097579,90.0,2.3051248,128.6598
20210107T0700,14.847579,89.0,1.0182338,135.0
20210107T0800,16.847578,85.0,6.2145634,259.992
20210107T0900,18.137579,84.0,9.885262,280.4915
20210107T1000,17.947578,82.0,8.287822,272.48956
20210107T1100,19.267578,78.0,6.9899354,281.88867
20210107T1200,18.757578,78.0,7.491114,305.2176
20210107T1300,18.847578,78.0,7.928177,309.47247
20210107T1400,18.617579,79.0,8.891343,301.7595
20210107T1500,18.31758,81.0,10.144082,297.47443
20210107T1600,17.717579,85.0,8.699793,294.44397
20210107T1700,17.277578,89.0,7.69592,280.7843
20210107T1800,16.48758,94.0,6.5693827,279.46234
20210107T1900,15.897579,97.0,4.6938252,274.3987
20210107T2000,15.967579,96.0,2.7416782,113.19859
20210107T2100,16.097578,92.0,6.638072,102.52881
20210107T2200,15.767578,85.0,10.028439,111.03751
20210107T2300,15.017578,77.0,8.557102,112.249016
20210108T0000,14.927579,77.0,5.937272,104.03624
20210108T0100,15.107578,81.0,2.16,89.99999
20210108T0200,14.647578,84.0,0.71999997,89.99999
20210108T0300,14.767578,86.0,1.8,89.99999
20210108T0400,14.927579,89.0,2.9024127,82.874985
20210108T0500,15.067578,87.0,2.5455842,81.869896
20210108T0600,15.097579,87.0,2.3051248,51.34018
20210108T0700,14.977578,96.0,2.52,360.0
20210108T0800,15.807579,93.0,5.2416787,254.0546
20210108T0900,16.377579,91.0,9.3876505,274.3987
20210108T1000,16.767578,91.0,8.759178,260.5377
20210108T1100,17.637579,85.0,7.5942082,238.57043
20210108T1200,18.287579,81.0,9.693296,248.1986
20210108T1300,17.82758,83.0,10.24578,251.56506
20210108T1400,17.267578,85.0,10.464797,243.43495
20210108T1500,16.98758,86.0,8.0899935,237.72437
20210108T1600,16.797579,85.0,5.3999996,233.1301
20210108T1700,16.887579,84.0,3.396233,237.99463
20210108T1800,16.037579,88.0,2.52,270.0
20210108T1900,15.277578,92.0,2.52,270.0
20210108T2000,14.937578,94.0,3.2399998,180.0
20210108T2100,14.757579,96.0,0.8049845,243.43495
20210108T2200,14.737578,96.0,1.484318,104.03624
20210108T2300,14.727578,97.0,0.8049845,116.56505
20210109T0000,14.577579,97.0,1.8,89.99999
20210109T0100,14.427579,97.0,2.5455842,81.869896
20210109T0200,14.437578,95.0,3.2399998,89.99999
20210109T0300,14.387579,94.0,2.16,89.99999
20210109T0400,14.227578,95.0,1.4399999,89.99999
20210109T0500,13.947578,97.0,1.609969,63.43495
20210109T0600,13.817578,97.0,2.6208394,74.054596
20210109T0700,13.877579,97.0,2.2768397,71.56504
20210109T0800,14.697578,95.0,5.0142193,248.9625
20210109T0900,15.637579,93.0,7.5599995,270.0
20210109T1000,16.337578,93.0,7.5685663,267.27368
20210109T1100,16.56758,94.0,8.311245,274.96973
20210109T1200,16.89758,94.0,7.5685663,272.72632
20210109T1300,17.017578,94.0,7.342588,281.30994
20210109T1400,17.177578,94.0,7.5170207,286.69925
20210109T1500,17.087578,93.0,7.69592,280.7843
20210109T1600,16.767578,94.0,8.557102,284.62088
20210109T1700,16.32758,95.0,7.771331,283.39252
20210109T1800,15.777578,96.0,6.924738,278.97263
20210109T1900,15.457579,98.0,5.0911684,278.1301
20210109T2000,15.417579,96.0,3.219938,63.43495
20210109T2100,15.237578,96.0,4.32,89.99999
20210109T2200,15.417579,91.0,5.6920996,108.434944
20210109T2300,15.437578,91.0,5.3517847,109.653824
20210110T0000,15.287579,90.0,5.506941,101.30993
20210110T0100,14.957579,89.0,6.379216,106.38954
20210110T0200,14.447578,88.0,7.42159,112.83366
20210110T0300,13.997579,85.0,8.766573,109.17901
20210110T0400,13.267578,81.0,9.904906,109.09349
20210110T0500,12.717579,80.0,10.028439,111.03751
20210110T0600,12.377579,79.0,10.24578,108.434944
20210110T0700,12.497579,81.0,8.654986,106.92751
20210110T0800,14.837579,87.0,4.829907,296.56506
20210110T0900,16.82758,90.0,7.6367526,315.0
20210110T1000,18.007578,90.0,8.891343,301.7595
20210110T1100,18.15758,89.0,7.968939,288.43497
20210110T1200,18.90758,80.0,7.968939,288.43497
20210110T1300,19.257578,77.0,11.27553,286.69925
20210110T1400,18.697578,81.0,10.587917,287.8189
20210110T1500,18.037579,86.0,10.829958,291.44775
20210110T1600,17.507578,89.0,10.028439,291.0375
20210110T1700,16.937578,93.0,9.0,286.2602
20210110T1800,16.257578,96.0,7.072878,284.74356
20210110T1900,15.907579,98.0,5.6920996,288.43497
20210110T2000,16.097578,97.0,5.4833565,113.19859
20210110T2100,15.997578,92.0,6.489992,109.44003
20210110T2200,15.667579,81.0,9.565437,109.798874
20210110T2300,14.587579,76.0,9.693296,111.80141
20210111T0000,14.1175785,79.0,9.107359,108.434944
20210111T0100,14.187578,79.0,8.557102,112.249016
20210111T0200,14.447578,79.0,6.439876,116.56505
20210111T0300,14.627579,79.0,5.95906,115.01689
20210111T0400,14.807579,82.0,4.829907,116.56505
20210111T0500,14.6175785,83.0,4.3498964,114.44395
20210111T0600,14.337579,81.0,3.8773184,111.80141
20210111T0700,14.607578,86.0,2.3051248,128.6598
20210111T0800,15.737578,93.0,5.4477882,277.59464
20210111T0900,16.98758,92.0,8.373386,295.46335
20210111T1000,17.23758,91.0,8.766573,289.17902
20210111T1100,17.717579,87.0,8.373386,295.46335
20210111T1200,17.97758,86.0,8.587338,303.02386
20210111T1300,18.037579,87.0,10.685391,302.61926
20210111T1400,17.587578,91.0,10.495713,300.96378
20210111T1500,17.457579,93.0,7.4128532,299.0546
20210111T1600,17.387579,92.0,5.2416787,285.9454
20210111T1700,17.287579,91.0,6.28713,283.2405
20210111T1800,16.587578,94.0,5.0142193,291.0375
20210111T1900,16.037579,97.0,2.7416782,293.1986
20210111T2000,16.117579,95.0,1.835647,101.30993
20210111T2100,16.07758,91.0,3.7585104,106.69924
20210111T2200,16.447578,83.0,4.6938257,122.47119
20210111T2300,16.697578,80.0,5.4833565,113.19859
20210112T0000,16.507578,76.0,5.937272,104.03624
20210112T0100,15.807579,77.0,7.2359104,95.71059
20210112T0200,15.197578,77.0,7.771331,103.392494
20210112T0300,14.427579,79.0,7.8625183,105.9454
20210112T0400,14.1175785,79.0,6.0347,107.35402
20210112T0500,14.347579,79.0,3.7585104,106.69924
20210112T0600,14.457579,84.0,2.52,89.99999
20210112T0700,14.597579,88.0,0.8049845,26.565033
20210112T0800,15.007579,93.0,2.968636,284.03625
20210112T0900,16.197578,96.0,5.7599998,270.0
20210112T1000,17.217579,95.0,7.928178,272.60257
20210112T1100,17.107578,95.0,9.178235,281.30994
20210112T1200,17.857578,90.0,8.557102,284.62088
20210112T1300,18.517578,85.0,7.754637,291.8014
20210112T1400,18.457579,86.0,7.9036193,300.0686
20210112T1500,18.207579,89.0,8.699793,294.44397
20210112T1600,17.837578,90.0,8.311245,287.65012
20210112T1700,17.557579,92.0,6.9527545,291.2505
20210112T1800,16.90758,95.0,6.763786,295.2011
20210112T1900,16.31758,98.0,5.154415,294.77515
20210112T2000,16.177578,98.0,1.2979984,326.30994
20210112T2100,16.07758,97.0,3.2399998,89.99999
20210112T2200,15.557579,97.0,6.87779,96.009
20210112T2300,15.187578,93.0,8.759178,99.46232